ID,iflow_id
a1b2c3d4-e5f6-7890-abcd-ef1234567890,CUSTOMER_MASTER_DATA_SYNC
b2c3d4e5-f6g7-8901-bcde-f23456789012,ORDER_PROCESSING_FLOW
c3d4e5f6-g7h8-9012-cdef-345678901234,INVOICE_GENERATION_IFLOW
d4e5f6g7-h8i9-0123-defg-456789012345,PRODUCT_CATALOG_SYNC
e5f6g7h8-i9j0-1234-efgh-567890123456,PAYMENT_PROCESSING_API
f6g7h8i9-j0k1-2345-fghi-678901234567,SHIPMENT_TRACKING_FLOW
g7h8i9j0-k1l2-3456-ghij-789012345678,RETURN_MANAGEMENT_PROC
h8i9j0k1-l2m3-4567-hijk-890123456789,SUPPLIER_ONBOARDING_IF
i9j0k1l2-m3n4-5678-ijkl-901234567890,INVENTORY_UPDATE_BATCH
j0k1l2m3-n4o5-6789-jklm-012345678901,ANALYTICS_DATA_EXTRACT